0 1.38879e-011
0.01 1.35198e-011
0.02 1.31227e-011
0.03 1.38915e-011
0.04 1.53858e-011
0.05 1.62469e-011
0.06 1.55866e-011
0.07 1.34717e-011
0.08 1.05748e-011
0.09 7.64526e-012
0.1 5.20191e-012
0.11 3.47626e-012
0.12 2.42882e-012
0.13 1.53989e-012
0.14 -1.16807e-012
0.15 -1.19682e-011
0.16 -4.80301e-011
0.17 -1.49805e-010
0.18 -3.96672e-010
0.19 -9.01727e-010
0.2 -1.68993e-009
0.21 -2.16268e-009
0.22 6.52857e-010
0.23 1.7035e-008
0.24 7.71396e-008
0.25 2.60688e-007
0.26 7.62731e-007
0.27 2.03138e-006
0.28 5.04185e-006
0.29 1.18161e-005
0.3 2.63663e-005
0.31 5.62977e-005
0.32 0.000115864
0.33 0.000227121
0.34 0.000447697
0.35 0.00077021
0.36 0.0015718
0.37 0.0023126
0.38 0.0045211
0.39 0.00707444
0.4 0.0111383
0.41 0.0175571
0.42 0.0273732
0.43 0.0402229
0.44 0.0576368
0.45 0.0809089
0.46 0.112413
0.47 0.152699
0.48 0.202452
0.49 0.260488
0.5 0.326245
0.51 0.397891
0.52 0.474794
0.53 0.555565
0.54 0.638643
0.55 0.718949
0.56 0.793308
0.57 0.858525
0.58 0.91148
0.59 0.949445
0.6 0.97037
0.61 0.973101
0.62 0.9575
0.63 0.924453
0.64 0.875793
0.65 0.814132
0.66 0.742634
0.67 0.664719
0.68 0.583798
0.69 0.503105
0.7 0.425853
0.71 0.354622
0.72 0.2912
0.73 0.232098
0.74 0.175948
0.75 0.133649
0.76 0.100092
0.77 0.0738448
0.78 0.0536341
0.79 0.0383333
0.8 0.0269541
0.81 0.0186442
0.82 0.0126862
0.83 0.00849209
0.84 0.00559287
0.85 0.00362449
0.86 0.0023116
0.87 0.0014511
0.88 0.000896747
0.89 0.000545637
0.9 0.000326943
0.91 0.000192952
0.92 0.000112179
0.93 6.42588e-005
0.94 3.6274e-005
0.95 2.01825e-005
0.96 1.10702e-005
0.97 5.98681e-006
0.98 3.19422e-006
0.99 1.67598e-006
1 8.86606e-007
